FID,DC_NUM,DC_KEY,LOCATION_B,THEFT_DATE,THEFT_YEAR,DC_DIST,STOLEN_VAL,THEFT_HOUR,UCR,X,Y,GlobalID,x2,y2
705,007702,201503007702,1100 BLOCK S 10TH ST,2/5/2015 12:00:00 AM,2015,03,100,22,625,-75.16027357,39.93502791,450448e5-7aea-414a-b265-58d6d43b39d9,-119.643052228366,45.795795373558
706,046117,201417046117,2100 BLOCK SAINT ALBANS ST,10/20/2014 12:00:00 AM,2014,17,100,17,625,-75.17791781,39.94275269,2832ad57-aa7f-4393-993e-22bd0164fef4,-119.651871500369,45.7960694515152
707,008087,201503008087,200 BLOCK SOUTH ST,2/7/2015 12:00:00 AM,2015,03,400,16,615,-75.14570866,39.94114475,a8382f96-9396-4eae-9f55-ebb39c086b8d,-119.639005796969,45.799974216082
708,046533,201417046533,500 BLOCK S 15TH ST,10/23/2014 12:00:00 AM,2014,17,700,12,615,-75.16722294,39.94395093,d56dd439-e1f2-4e26-9319-a56fcdb162b5,-119.648048150737,45.797976965006
709,001061,201505001061,629-B ROXBOROUGH AV,1/19/2015 12:00:00 AM,2015,05,350,16,615,-75.2083294,40.03124934,aa3ab650-d31b-447a-98a3-c0e772f31a36,-119.686568545189,45.8230672542839
710,046803,201417046803,500 BLOCK S 27TH ST,10/25/2014 12:00:00 AM,2014,17,0,2,615,-75.18409203,39.94645375,9e88b3bb-fe44-4dbf-966c-2988be0834ad,-119.655216098994,45.796517193863
711,001543,201506001543,900 BLOCK PINE ST,1/12/2015 12:00:00 AM,2015,06,800,17,615,-75.15733407,39.94456551,62705069-6ce8-4a91-b424-c162a6326363,-119.644385006853,45.7995666352401
712,046826,201417046826,2100 BLOCK BAINBRIDGE ST,10/25/2014 12:00:00 AM,2014,17,2072,10,615,-75.17736092,39.94428418,406752d3-51ad-4fbd-8f0b-5ad418ff29e0,-119.652052802215,45.7966868234805
713,003099,201506003099,200 BLOCK N 10TH ST,1/21/2015 12:00:00 AM,2015,06,200,10,615,-75.15569934,39.95654646,454c3f03-2943-4073-846a-2a9ae1198ff2,-119.646855388298,45.8040189282842
714,046888,201417046888,1500 BLOCK MONTROSE ST,10/25/2014 12:00:00 AM,2014,17,600,18,615,-75.16811923,39.93978951,a98f0922-c349-4e38-b5ec-f88e9199f165,-119.647317207488,45.7963850969698
715,003103,201506003103,200 BLOCK S JUNIPER ST,1/21/2015 12:00:00 AM,2015,06,250,10,615,-75.16332553,39.94859268,71cc7e12-8943-4492-a2c4-f6619be97d57,-119.647743562234,45.8001549871018
716,047715,201417047715,800 BLOCK S 17TH ST,10/29/2014 12:00:00 AM,2014,17,600,20,615,-75.17113991,39.94084374,96e95bc8-07e9-49f4-96a5-e78ee6273d21,-119.648757632145,45.7963374356633
717,003270,201506003270,200 BLOCK S JUNIPER ST,1/22/2015 12:00:00 AM,2015,06,250,11,615,-75.16332553,39.94859268,338eb34d-4e75-4308-8de8-4eddc2cd5043,-119.647743562234,45.8001549871018
718,047798,201417047798,1900 BLOCK CHRISTIAN ST,10/30/2014 12:00:00 AM,2014,17,850,11,615,-75.17482343,39.94105788,76e73470-2f2a-4d4d-96bc-7935964b56d9,-119.650236744784,45.7959014952412
719,003414,201506003414,700 BLOCK ADDISON ST,1/23/2015 12:00:00 AM,2015,06,450,10,615,-75.15446319,39.94374639,3ace6452-f83a-496b-96e7-6779928735c3,-119.643063254939,45.7996763415467
720,057269,201418057269,3000 BLOCK SOUTH ST,9/15/2014 12:00:00 AM,2014,18,450,21,615,-75.18975768,39.94889919,cf2903b0-d5bf-410d-9660-ec46a5cad64b,-119.658039068063,45.7965927577585
721,003958,201506003958,200 BLOCK S 13TH ST,1/27/2015 12:00:00 AM,2015,06,1000,9,615,-75.16246636,39.94772627,b15b3fcb-9e22-46ca-afd5-92785ea100ec,-119.647187133718,45.7999687278797
722,057380,201418057380,3000 BLOCK SOUTH ST,9/16/2014 12:00:00 AM,2014,18,200,13,615,-75.18975768,39.94889919,4d253049-d894-44eb-84ed-eff247d55159,-119.658039068063,45.7965927577585
723,003990,201506003990,800 BLOCK N 07TH ST,1/27/2015 12:00:00 AM,2015,06,200,12,615,-75.1488176,39.96655618,79fe4d09-c952-4ec6-b752-e4a901f28eff,-119.646787663479,45.8085050254206
724,057402,201418057402,2900 BLOCK CHESTNUT ST,9/16/2014 12:00:00 AM,2014,18,400,15,615,-75.18250305,39.95314168,07ed2d96-5fae-4ad0-9d1a-b02abed2da8a,-119.656333957375,45.7990963434749
725,004330,201506004330,500 BLOCK N 03RD ST,1/29/2015 12:00:00 AM,2015,06,250,20,615,-75.14341517,39.96105809,9b6368f8-fdc6-4d56-9c22-db2844a6c14a,-119.643275146032,45.807315678067
726,002177,201509002177,800 BLOCK N 28TH ST,1/17/2015 12:00:00 AM,2015,09,200,20,615,-75.18247349,39.97177834,915a2a95-adb3-4108-a35c-d14c491d419a,-119.66115047864,45.8056736954567
727,057905,201418057905,3400 BLOCK CIVIC CENTER BLVD,9/18/2014 12:00:00 AM,2014,18,700,16,615,-75.19306819,39.94805718,ae2f91c5-c1f8-4b6c-8bf5-bcae20df6730,-119.659100443548,45.7958360801674
728,003257,201509003257,1600 BLOCK MARKET ST,1/26/2015 12:00:00 AM,2015,09,200,11,615,-75.16689812,39.95283553,9e7d37fa-91da-4022-b646-9c8b54058431,-119.65022314627,45.801155256443
729,057915,201418057915,3400 BLOCK HAMILTON WALK,9/18/2014 12:00:00 AM,2014,18,0,17,615,-75.19507346,39.94962639,00a54392-9069-41f5-936a-4a9619334695,-119.660281825544,45.7961109543791
730,003483,201509003483,2100 BLOCK APPLETREE ST,1/28/2015 12:00:00 AM,2015,09,500,8,615,-75.17519656,39.95642762,a2bf4e8e-ea1d-4139-9ad7-68f45140177a,-119.654360980769,45.8012698256651
731,058045,201418058045,4600 BLOCK SANSOM ST,9/19/2014 12:00:00 AM,2014,18,400,0,615,-75.21471053,39.95643707,8d20067a-8436-4f90-a171-e52acb37c476,-119.669634964606,45.7957852203039
732,003576,201509003576,800 BLOCK N 26TH ST,1/28/2015 12:00:00 AM,2015,09,400,19,615,-75.17915396,39.97234328,1cd9b4f3-72c2-47f4-b8f0-9eea81797a4f,-119.660013754174,45.8063339949167
733,058081,201418058081,900 BLOCK S 48TH ST,9/19/2014 12:00:00 AM,2014,18,700,8,615,-75.21731442,39.94672887,47810655-c752-443c-b435-927d53624ef0,-119.668126423119,45.792000078948
734,003377,201512003377,6400 BLOCK UPLAND ST,1/14/2015 12:00:00 AM,2015,12,131,21,625,-75.23568822,39.92758819,38e92c94-2529-4e29-b336-5ca68d69a279,-119.670269409063,45.7826994528164
735,058295,201418058295,400 BLOCK S 44TH ST,9/20/2014 12:00:00 AM,2014,18,100,1,625,-75.21077055,39.95129053,d07cf5f6-3297-4c98-b843-f5a421b9bf22,-119.666779163786,45.7945175997819
736,058652,201418058652,3000 BLOCK SOUTH ST,9/21/2014 12:00:00 AM,2014,18,100,4,625,-75.18975768,39.94889919,84d0c8e7-ced4-4105-b0ac-c958c5e701c7,-119.658039068063,45.7965927577585
737,006454,201514006454,200 BLOCK W RITTENHOUSE ST,1/28/2015 12:00:00 AM,2015,14,507,21,615,-75.17872463,40.03545941,0e559193-64ac-47ed-87f3-12daffe71877,-119.676215725419,45.8286666817032
738,059124,201418059124,5600 BLOCK CHESTNUT ST,9/23/2014 12:00:00 AM,2014,18,150,17,625,-75.23371561,39.95957174,ae473dbb-eabc-4105-90ab-8c2f9f0a2234,-119.677791388032,45.7942504454626
739,005667,201515005667,3500 BLOCK OAKMONT ST,1/19/2015 12:00:00 AM,2015,15,200,14,615,-75.03603949,40.03978212,1574aa61-bbb2-4196-930a-6c688d1a2376,-119.62215106728,45.8500028301991
